NAME	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT
CDC14A	167	2.79806447	-0.18736397	No
PLK1	409	-2.000452518	-0.47544342	No
GTSE1	465	-2.089318275	-0.5270098	No
CDKN2C	468	-2.096006632	-0.51134443	No
ANAPC16	475	-2.104280233	-0.50067693	No
CDC20	523	-2.200799465	-0.54113585	Yes
CDC6	528	-2.216078043	-0.52696276	Yes
PLK4	530	-2.221474886	-0.5089405	Yes
TK1	566	-2.320187569	-0.53315365	Yes
CDCA5	567	-2.322461843	-0.5129871	Yes
FOXM1	575	-2.340321064	-0.5015374	Yes
UBE2C	580	-2.349332333	-0.4862072	Yes
RPA3	585	-2.365245819	-0.47073883	Yes
CENPH	595	-2.395725489	-0.46134293	Yes
HJURP	614	-2.451449633	-0.46287	Yes
CCNB2	623	-2.500281811	-0.45129877	Yes
CDK1	628	-2.528634071	-0.43441164	Yes
RMI2	635	-2.54233551	-0.4199404	Yes
NEK2	637	-2.561089754	-0.3989692	Yes
PKMYT1	643	-2.575517893	-0.3829424	Yes
RRM2	646	-2.581340313	-0.36306277	Yes
BIRC5	649	-2.603423595	-0.34299138	Yes
UBE2E1	656	-2.633303404	-0.32773024	Yes
CDCA8	676	-2.698341608	-0.3283809	Yes
CDC45	681	-2.726066351	-0.30977944	Yes
POLE2	682	-2.734335184	-0.28603643	Yes
NCAPH	705	-2.854563713	-0.28913286	Yes
KIF2C	707	-2.86046052	-0.26556215	Yes
MCM5	714	-2.908502102	-0.24791136	Yes
TOP2A	726	-3.004568815	-0.23576356	Yes
SPC24	732	-3.02516675	-0.21583235	Yes
ZWINT	733	-3.030730724	-0.18951568	Yes
DHFR	735	-3.035133839	-0.1644282	Yes
KIF20A	738	-3.066231966	-0.14033811	Yes
NUF2	751	-3.151355505	-0.12818314	Yes
NDC80	759	-3.269491434	-0.10866524	Yes
OIP5	761	-3.282616854	-0.0814288	Yes
CENPU	764	-3.303800106	-0.05527585	Yes
AURKB	766	-3.351708412	-0.027439468	Yes
GINS2	788	-3.632645369	-0.022512175	Yes
CENPM	813	-4.064743996	-0.017635133	Yes
SPC25	821	-4.366326809	0.011406897	Yes
