Gene	logFC	logCPM	F	PValue	FDR
PGAM2	-5.8231085991602	5.60228274267477	114.575956059427	3.18456304769428e-06	0.00127688237464461
KCNIP2	-5.71956343553176	4.08674288944296	160.765522620479	7.38216698203381e-07	0.000726839539725182
MYL2	-5.49968355108531	10.7233735552934	108.190495966425	4.00048570474344e-06	0.00128691034400296
FBXL22	-5.28977942802282	3.67832987757515	113.606613495592	3.29419987164019e-06	0.00128691034400296
ALAS2	-5.04421908726239	5.31681343398093	210.75459976387	2.16717875409748e-07	0.000699967350213733
METTL7B	-4.98491060010159	3.73493822215977	68.292465714898	2.40872198385243e-05	0.00243640987057403
HHATL	-4.72483900488622	4.22453078092251	108.703308239226	3.92606678947159e-06	0.00128691034400296
ACTA1	-4.54956913303674	7.04520640698394	63.0944350139357	3.25646403915236e-05	0.00276630276364878
FXYD1	-4.43005965355156	5.37632233222003	55.4674511160792	5.29038672671556e-05	0.00326749333422572
SPC25	-4.36632666377283	2.90287515528133	43.8637060789396	0.00012558365145391	0.00522103388237303
FAM111B	-4.33657129650736	2.87427656799348	102.565473161651	4.44127696730046e-06	0.00128826035805522
LINC02502	-4.29816222666409	2.40537159246768	24.3199961356421	0.000959743192283805	0.0161241786491311
TNNC1	-4.2853730583491	9.43690756186731	94.52401716902	6.82168397037919e-06	0.00148735449500834
IRX4-AS1	-4.28245512533199	2.13437701979915	20.0045389012321	0.00178435170163631	0.0229872437562975
COX6A2	-4.16830005856147	2.08686307698525	25.3894857420766	0.000833903347776935	0.0148625662065639
PBK	-4.11421287706847	3.71891517730286	170.565040552961	5.23717043673721e-07	0.000712671900596719
TCAP	-4.06743865072766	6.55262131719979	80.7673950323649	1.26156092863023e-05	0.00174335282412049
CENPM	-4.0647437870405	3.12627318284685	42.1230753424298	0.000145373793086507	0.00569962018483345
MSS51	-4.04934314290325	3.68321795367246	103.53421032842	4.73467103851847e-06	0.00129039513595622
TMSB15A	-4.0238366329146	3.74356074375624	37.0918400825516	0.000228863077027679	0.00749746270536586
TNMD	-4.0175885375313	5.30352073798946	89.9610985948923	8.28412687305608e-06	0.00151010682649468
MAOB	-4.0134830886354	2.44857724625491	65.213794957824	2.87225698382651e-05	0.00263490505328086
S100A8	-3.98769845902689	1.88321130408799	20.6199264113763	0.00162391388194104	0.0217399403735778
ADPRHL1	-3.9386318488708	5.30737751945865	158.94059568119	7.01754766715468e-07	0.000726839539725182
MYL7	-3.93538662031575	12.7101473779892	65.2062983328293	2.87351414871377e-05	0.00263490505328086
ODAM	-3.87569487059663	1.76685889335286	30.7242975029371	0.00188660557879861	0.0238248846898868
CKMT2	-3.84301678157717	6.21490059480167	138.624541224418	1.32127691380085e-06	0.00089404885791428
CCDC34	-3.80797480008259	5.22324491437024	66.1130735160714	2.72625674764319e-05	0.00255696966038623
TROAP	-3.79580938155237	2.4437314500072	84.7839776154409	9.02958615964507e-06	0.00153774040042082
FGF12	-3.79524470201945	6.80503599206526	156.87407146702	7.40803689267881e-07	0.000726839539725182
ACE2	-3.79226115330794	3.55399420999523	22.730388982699	0.00119347092707515	0.0182252762661445
MYL4	-3.789321355664	10.1956319103683	76.7317152155996	1.53879087784275e-05	0.00194810925134892
NME5	-3.77292279624892	2.78383584580428	48.7746904600629	8.52345072462049e-05	0.00418600989866403
HSPB7	-3.77204926877898	10.0528154557712	166.345526578748	5.81091087476304e-07	0.000712671900596719
CPNE5	-3.69615064109847	5.99274028745611	171.996752064408	5.05848151738228e-07	0.000712671900596719
CORIN	-3.6951859360177	6.58981199230643	61.169646690123	3.66185121725798e-05	0.00287426025745013
RAD51AP1	-3.66863639926727	2.66169486599869	104.402859407234	3.91929984778765e-06	0.00128691034400296
SUSD2	-3.66453093750871	3.04758380754467	46.438300222059	0.000102041691459081	0.00462439748614675
NAV2-AS2	-3.65957044735809	5.52703857498115	60.3400205111334	3.85571600387304e-05	0.00290925453489117
TNNI1	-3.64959422232399	10.6871971992651	83.0464431580069	1.132176232953e-05	0.00162165651235305
GJD2	-3.64879724854351	2.00445570527776	64.3683764870082	0.000540589046335026	0.0116472413063146
LDB3	-3.63348927384942	7.99664570278747	144.527529129063	1.03913476213413e-06	0.000834815290889587
GINS2	-3.6326454304528	3.4270465769425	75.8102151160704	1.61234371076526e-05	0.00197743878977167
PCLAF	-3.61873067534765	3.51889070447899	31.5148799332694	0.000403610808028208	0.0100969150908614
MYLK-AS1	-3.61412649206682	3.63626938175454	25.1993830562759	0.000854708459726292	0.0150414513075437
ACTC1	-3.59977458068118	13.3732415498256	95.0868733548016	5.71049061326216e-06	0.00140519626195683
MIR133A1HG	-3.58646819687156	3.37668189330092	55.8141699225266	5.16851757665392e-05	0.00322999428046751
LINC01611	-3.58198369628292	2.19602469638195	20.8145610427645	0.00157692164921369	0.0214441673752739
LDHD	-3.57665538935486	2.72860239236964	102.458344485662	4.22841469657758e-06	0.00128826035805522
LINC01182	-3.56101348824554	2.10903422166771	21.6974038513325	0.00138374515234664	0.0199362930429501
SLC35D3	-3.55315957750329	1.84976654250767	65.264678151696	0.00191453175133661	0.0240363765556483
CD36	-3.54447122859589	5.42258584121255	121.374684680119	2.2445255995695e-06	0.00115906120632506
MB	-3.54287028358281	7.05578781035039	97.0471439522006	6.1496549938524e-06	0.00141970211699254
MARCHF11	-3.53097511023374	3.91289401215756	59.8361472669682	3.9796640040697e-05	0.00294690365101358
FABP3	-3.49214045828843	9.27892289201956	59.8610743752394	3.97341744602985e-05	0.00294690365101358
TNNI3	-3.47962221499039	9.57636856163008	58.9918756591047	4.19858584649107e-05	0.00301901140438794
