NAME	SCORE
IL11	7.81143
PTGS2	7.172085
OAS2	7.149848
OAS1	6.9140377
MX1	6.839104
ANGPTL4	6.6676073
OAS3	6.0403905
IFI44L	5.88614
CMPK2	5.739321
IFNB1	5.5798206
CA9	5.446761
CXCL2	5.3933163
RSAD2	5.3817296
IFIT3	5.3635793
IL1B	5.3530703
CCL7	5.2918286
MX2	5.179423
MRC1	5.1605535
TNFAIP3	5.1580296
OSM	5.000936
CXCL1	4.990861
SPDYA	4.9648476
GALNT15	4.8435316
HAS2	4.7745137
PTAFR	4.6983137
NUAK2	4.6624227
GREM1	4.546835
CD200R1	4.5232806
GDF15	4.512745
TGIF2-RAB5IF	4.4949174
IRF7	4.489884
FERMT3	4.484359
NR4A2	4.367728
C7orf61	4.365896
NT5E	4.3160777
HIVEP2	4.1989055
DHX58	4.190837
CD68	4.171354
NR4A1	4.1597686
IFI44	4.0869884
IFIT2	4.073136
ISG20	4.034635
HSPA6	4.02195
ISG15	3.9872773
BAAT	3.9861164
HLF	3.9693012
SUCNR1	3.9189088
SENP3-EIF4A1	3.9100077
ZC3H12A	3.9043932
NR4A1AS	3.8507197
HAS1	3.840127
CXCL3	3.8243232
SPOCD1	3.8157985
TNC	3.8114285
FOSB	3.8110743
ACTBL2	3.808624
CXCL8	3.7643554
NXPE2	3.755393
SAA1	3.7532358
NR4A3	3.74654
BIRC3	3.7463849
SRGN	3.7305043
GAL3ST1	3.7111852
IFI27	3.706511
APCDD1L	3.6954055
STC1	3.653529
IRF8	3.652257
SAMD9	3.6298013
SLC12A8	3.6200802
LINC01823	3.6199462
ZBTB2	3.6004357
MICB	3.5875697
SLC2A5	3.5660195
SERPINE1	3.5561876
NFATC2	3.555795
PTX3	3.5545435
USP18	3.5266001
ANKRD33B	3.5211358
SNAI1	3.5011714
PCDH15	3.4774253
CXCR1	3.4763207
MYRFL	3.4739802
NPC1L1	3.4725797
GIPC3	3.4441051
MLKL	3.4423296
CDK5R1	3.4287455
BST2	3.4204762
NFKBIA	3.4172015
ANKS4B	3.4080315
PLAUR	3.405416
PTPRN	3.400174
TRIM14	3.3889134
MAFF	3.3705862
IFITM1	3.3499148
NR1D1	3.3434176
SIX4	3.3201902
CDH16	3.2905252
MYCT1	3.2899628
DDX58	3.2830582
MAP3K8	3.271886
IFIH1	3.2618732
HELZ2	3.260663
CYP1B1	3.2508094
IFI6	3.245873
CFAP43	3.2367287
CDCP1	3.2215457
LIF	3.2183325
CSRNP1	3.2090895
TNFSF4	3.1945467
NPIPB9	3.1874247
SUSD3	3.1777747
PER2	3.1770663
CD83	3.1738198
NFKBIZ	3.1590831
PARP10	3.1567092
NBPF10	3.12337
CDC42EP2	3.1194165
IDI2-AS1	3.112656
PLA2G4A	3.1104953
KCNJ6	3.1072204
PAPPA	3.1061885
SLC25A25	3.094355
MYO10	3.0759196
NFKB2	3.0748215
IL12A	3.0741594
GFPT2	3.053507
SAMHD1	3.0522573
TFPI2	3.0452108
PCDH8	3.023577
SH2B3	3.016999
TAF4B	3.0149493
RELB	3.0072126
FNDC11	3.0030231
EGR2	2.9971242
PFKFB4	2.996145
ADM5	2.995367
APLN	2.9913013
TMEM255B	2.982863
IL6	2.98285
NPIPB6	2.9774804
TLR4	2.9774752
TNFRSF6B	2.9735534
LINC01119	2.9714682
OSMR	2.9680266
SLC20A1	2.9595163
ZSWIM4	2.9472802
AGTR1	2.936738
ADCY10	2.9342663
GCH1	2.930393
FOS	2.9242094
TMEM119	2.9167187
IPMK	2.9093716
TMEM158	2.9073765
IFIT1	2.8973327
FAM83G	2.890823
PPP1R15A	2.8882158
PTGS1	2.8715694
ATP10A	2.8571267
SAMD9L	2.8549078
H2BC6	2.8481977
ANXA10	2.8477492
ICAM1	2.8447738
LOX	2.8375096
ATF3	2.8347495
HAP1	2.828557
GPR87	2.819893
SLC5A3	2.8073895
CDC14A	2.7980645
ARRDC3	2.7976685
APOL3	2.7971542
KCNG1	2.7949176
TMEM200A	2.7899911
FOSL1	2.7865667
PER1	2.7732108
SPHK1	2.7728884
RFLNA	2.7647643
GALNT12	2.7629158
ARHGEF28	2.7592614
CCNL1	2.7526827
RBM47	2.7447152
JUNB	2.7446606
IP6K3	2.727148
PTGES	2.7226894
BHLHE41	2.722265
PRR5L	2.7222087
PLOD2	2.7209263
SLC19A2	2.7182958
H2BC18	2.7118888
CPA4	2.7088034
ZBTB21	2.7030025
INHBE	2.7006934
ADGRE5	2.6996737
CHD2	2.697284
CCL2	2.6927693
BMP6	2.6916492
TM4SF1	2.6915443
WNK4	2.6829553
GABRR2	2.6827607
SERPINB2	2.6777291
SP100	2.6762166
SELPLG	2.6688101
KCNN1	2.6671338
ITGA5	2.665103
PDCD1LG2	2.65719
SBNO2	2.656249
SGK1	2.6476057
H2BC8	2.643823
PARP14	2.6427093
TMED7-TICAM2	2.6392984
PMAIP1	2.6375892
HOXA5	2.6281807
TNFRSF10D	2.6206129
BMPR1B	2.6195214
GRB7	2.6101203
TNFSF9	2.605547
IL1R1	2.605356
HERC6	2.6047525
CD101	2.589927
F2RL1	2.5894866
ADIRF-AS1	2.5796616
CSF1	2.5794024
STC2	2.5743704
APOL6	2.571367
SPINT1	2.5690892
OVGP1	2.5678492
PHLDA2	2.549979
CPM	2.5454557
VEGFC	2.5351672
UGCG	2.518274
KLF10	2.5151281
TRAF1	2.5149448
LOXL3	2.5114233
FNIP2	2.511309
SLC2A3	2.5095148
TIGD3	2.508575
MEDAG	2.503234
EDEM1	2.4985335
BHLHE40	2.4965034
KLF5	2.485018
IL15RA	2.48372
PTGER4	2.483473
KLF4	2.4785368
PDE10A	2.4776955
CA12	2.4699948
SLCO2A1	2.4663963
DUSP4	2.462814
SOX17	2.4580712
NEFM	2.4564939
MAPK13	2.4502623
HIVEP1	2.4376018
LOXL2	2.4356055
NBPF19	2.4331634
INSYN2B	2.4302087
BCL6	2.4222775
PARP9	2.4147546
MYO3A	2.4147296
NR6A1	2.414602
TET3	2.4107275
CXCL6	2.4106557
TNFRSF1B	2.4085093
TG	2.4074855
TPBG	2.4070032
HLA-E	2.4056296
CREBRF	2.3947513
CIART	2.392362
RGS4	2.3885918
FRMD6	2.3878717
MALL	2.3833258
INHBA	2.3832188
IRF1	2.3799431
APOL1	2.3798757
ADAM32	2.376574
AMIGO2	2.3687234
LSMEM1	2.3614318
MCTP2	2.3606148
JUN	2.358727
ULBP2	2.358103
BCAR3	2.3560212
BCL3	2.3524776
ELF3	2.3405955
CD44	2.3403778
INTS6	2.3352182
TRIM38	2.3339574
IRAK2	2.3321452
SLC22A3	2.3287237
SLC43A3	2.3240957
EPHA2	2.3236942
PDK4	2.3216238
TAP1	2.318335
SLC2A9	2.3139584
SULF1	2.3090248
HTR7	2.3065825
ALDH1A3	2.3045776
CFB	2.2942076
TRIM25	2.2941267
DUSP1	2.292234
SERPINB8	2.2910786
BRPF1	2.2895193
GPR176	2.2874997
DDIT3	2.282792
ITGA4	2.2805808
RBM15	2.27348
HES1	2.2723036
STEAP1	2.2695057
SPRED1	2.2682662
SLC7A5	2.2680562
ARSI	2.2587767
RASGRF2	2.2577684
DRAM1	2.2558167
ETV4	2.2552927
DUSP6	2.247526
TNFAIP2	2.2469199
DTX3L	2.2386005
SMOX	2.2383895
FOXN2	2.2351892
SPRED3	2.2325552
MFAP3L	2.2306929
CLK4	2.2306137
SNAPC1	2.224079
GPBP1	2.2216716
WAKMAR2	2.2215388
CACTIN	2.216597
SMURF1	2.2067652
ATP8B1	2.2016377
IL1RL1	2.2005112
TBC1D2	2.199856
NEDD9	2.1983912
ACHE	2.1842656
PTGIS	2.1837728
LRRC8E	2.1813912
SEL1L3	2.1785543
KCNAB1	2.1746085
HFE	2.1731377
SEC24A	2.171192
NFKBID	2.1705394
GADD45B	2.1695662
CHD1	2.1674247
ZBTB10	2.1669426
HS6ST2	2.158807
EIF2AK2	2.1555421
LDB2	2.1553335
STARD13	2.1461031
GBP3	2.1425939
TYMP	2.142315
THY1	2.139841
NBPF26	2.1351252
RXFP1	2.133374
TENT5C	2.132303
IL33	2.1294794
THSD1	2.1280007
ARHGAP20	2.1234841
SLC38A5	2.1229491
NRG3	2.1209953
KLF11	2.1145997
ERRFI1	2.1139438
MVP	2.1110938
C1QTNF1	2.1092985
DPP4	2.104114
TMEM87B	2.0999238
PDE7A	2.0963242
IFRD1	2.0956917
ZNF317	2.0953856
UBASH3B	2.093595
NBPF14	2.0934474
HOXA-AS2	2.088457
CDH6	2.086026
SH3RF1	2.0848129
FGF7	2.0833642
SQSTM1	2.0823157
KLF9	2.0795588
ADCY7	2.076348
RGS16	2.075771
CLCF1	2.0753582
NPIPB15	2.0734217
RAPGEF2	2.0722678
PCSK9	2.069441
SKIL	2.0672505
DOK5	2.0671194
ITGA2	2.062052
ZNF844	2.061578
PDZD2	2.0586169
TRIM22	2.0557299
PFKFB3	2.05462
BAIAP2L1	2.0543187
ADM2	2.0523136
DBP	2.0486286
PIK3CD	2.048266
HAPLN3	2.047483
EMP1	2.0440953
LIPG	2.0431502
H2BC5	2.0420766
EVC2	2.0400739
HRH1	2.0390992
EGR1	2.0376337
TLE1	2.0361288
KCNE4	2.0329762
CASP4	2.0314195
ARRDC2	2.028687
PIGA	2.0253
RSRC2	2.0248642
PIM3	2.0222378
GTF2IRD1	2.0221186
LRIG3	2.0220304
MYD88	2.0199537
ERO1A	2.0093372
RLF	2.0092187
TGFBI	2.008175
PTBP3	2.0044317
ACOT13	-2.0001144
PLK1	-2.0004525
CPVL	-2.0051043
FANCL	-2.00684
CHURC1-FNTB	-2.009534
UQCR10	-2.010785
HADH	-2.0108476
SVIP	-2.0119104
PPP1R3C	-2.0180528
IL17B	-2.0194268
CHCHD5	-2.0195363
ATP5MPL	-2.0205567
TIMM8B	-2.0218062
MYL3	-2.022303
ATP5MC1	-2.0231767
GSTM4	-2.0240147
DHRS11	-2.0249689
GJA5	-2.0253384
SKA3	-2.028284
ETFRF1	-2.0294988
PIFO	-2.0306966
DNAJC15	-2.0365217
RDH5	-2.0372717
SMDT1	-2.0374906
PET100	-2.0431879
HACD1	-2.0439656
ERH	-2.046144
NIFK-AS1	-2.046841
PPP1R14C	-2.0474432
ATP5MF	-2.0493631
NEXN	-2.0529287
INKA2-AS1	-2.0540118
NSMCE4A	-2.0546134
ST7-AS1	-2.0564923
MMP15	-2.0566547
ABHD11	-2.0569844
PLCXD3	-2.058581
FAM20A	-2.0594988
MYLK	-2.060309
COX8A	-2.0610034
ACYP1	-2.0610785
NDUFC1	-2.0628488
DGCR6	-2.0644972
SH3RF2	-2.0675862
TMEM144	-2.0686865
PARP1	-2.0699973
ATP5PD	-2.0703516
ICA1	-2.073635
HIGD2A	-2.0753384
CDCA7	-2.0758119
FAM229B	-2.08091
PLPP7	-2.082147
PHACTR1	-2.0861063
DOK7	-2.0868776
GNG7	-2.0878327
EMP2	-2.0880055
ASB2	-2.0888684
GTSE1	-2.0893183
EFCAB7	-2.0914204
KLHL3	-2.0951195
CDKN2C	-2.0960066
MYBPC3	-2.098119
GUCY1A1	-2.098464
ATP5MC3	-2.098677
IL20RA	-2.0990562
NAP1L3	-2.0992012
MRPL53	-2.1013255
ANAPC16	-2.1042802
MGST3	-2.1097531
BEX2	-2.1112475
ITM2A	-2.118308
CMC4	-2.1186738
NDUFB2	-2.1188438
UQCRQ	-2.1221638
SYNM	-2.1226358
ATP5ME	-2.1232426
SHCBP1	-2.1293805
HMGN5	-2.1303248
GLIDR	-2.1308959
DECR1	-2.1320205
PRC1	-2.1332924
SLC5A1	-2.1337185
TMEM97	-2.1340513
DES	-2.134094
DLGAP1-AS1	-2.1343875
ULK4	-2.138354
LINC02762	-2.1437037
LINC01351	-2.148929
MTURN	-2.1527739
